iter	Passed	Remaining
0	0	52
1	0	48
2	1	46
3	1	43
4	2	42
5	2	41
6	3	40
7	3	39
8	3	39
9	4	39
10	4	39
11	5	38
12	5	38
13	6	37
14	6	37
15	7	37
16	7	36
17	7	36
18	8	35
19	8	35
20	9	34
21	9	34
22	10	33
23	10	33
24	10	32
25	11	32
26	11	31
27	12	31
28	12	30
29	12	30
30	13	29
31	13	29
32	14	28
33	14	28
34	15	28
35	15	27
36	15	27
37	16	26
38	16	26
39	17	25
40	17	25
41	18	24
42	18	24
43	18	23
44	19	23
45	19	23
46	20	22
47	20	22
48	21	22
49	21	21
50	22	21
51	22	20
52	22	20
53	23	19
54	23	19
55	24	19
56	24	18
57	25	18
58	25	17
59	26	17
60	26	16
61	26	16
62	27	16
63	27	15
64	28	15
65	28	14
66	28	14
67	29	13
68	29	13
69	30	12
70	30	12
71	31	12
72	31	11
73	31	11
74	32	10
75	32	10
76	33	9
77	33	9
78	33	9
79	34	8
80	34	8
81	35	7
82	35	7
83	36	6
84	36	6
85	36	6
86	37	5
87	37	5
88	38	4
89	38	4
90	38	3
91	39	3
92	39	2
93	40	2
94	40	2
95	41	1
96	41	1
97	41	0
98	42	0
99	42	0
